id,title,description,category,price,discount_percentage,rating,stock,tags,brand,sku,weight,dimensions,warranty_information,shipping_information,availability_status,return_policy,minimum_order_quantity,thumbnail,images,barcode,qr_code,available_sizes,unit,gender,material,style,pattern,color
12,Annibale Colombo Sofa,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",furniture,2499.99,14.4,3.92,60,"[""furniture"", ""sofas""]",Annibale Colombo,FUR-ANN-ANN-012,6,"{""width"": 12.75, ""height"": 20.55, ""depth"": 19.06}",Lifetime warranty,Ships in 1 week,In Stock,7 days return policy,1,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/1.webp"", ""https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/2.webp"", ""https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/3.webp""]",1777662847736,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Leather/Wood,Modern,Solid,Multi
13,Bedside Table African Cherry,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",furniture,299.99,19.09,2.87,64,"[""furniture"", ""bedside tables""]",Furniture Co.,FUR-FUR-BED-013,2,"{""width"": 13.47, ""height"": 24.99, ""depth"": 27.35}",5 year warranty,Ships overnight,In Stock,7 days return policy,3,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/1.webp"", ""https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/2.webp"", ""https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/3.webp""]",6441287925979,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Mixed Materials,Contemporary,Solid,Brown
14,Knoll Saarinen Executive Conference Chair,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",furniture,499.99,2.01,4.88,26,"[""furniture"", ""office chairs""]",Knoll,FUR-KNO-KNO-014,10,"{""width"": 13.81, ""height"": 7.5, ""depth"": 5.62}",2 year warranty,Ships overnight,In Stock,60 days return policy,5,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/1.webp"", ""https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/2.webp"", ""https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/3.webp""]",8919386859966,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Mixed Materials,Modern,Solid,Multi
15,Wooden Bathroom Sink With Mirror,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",furniture,799.99,8.8,3.59,7,"[""furniture"", ""bathroom""]",Bath Trends,FUR-BAT-WOO-015,10,"{""width"": 7.98, ""height"": 8.88, ""depth"": 28.46}",3 year warranty,Ships in 3-5 business days,Low Stock,60 days return policy,2,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/1.webp"", ""https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/2.webp"", ""https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/3.webp""]",1958104402873,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Wood,Contemporary,Solid,Natural Wood
16,Apple,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",groceries,1.99,12.62,4.19,8,"[""fruits""]",Hernandez and Sons,GRO-BRD-APP-016,9,"{""width"": 13.66, ""height"": 11.01, ""depth"": 9.73}",3 year warranty,Ships in 2 weeks,In Stock,90 days return policy,7,https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/apple/1.webp""]",7962803553314,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Fresh Produce,Natural,Solid,Red/Green
17,Beef Steak,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",groceries,12.99,9.61,4.47,86,"[""meat""]","Peterson, Cruz and Smith",GRO-BRD-BEE-017,10,"{""width"": 18.9, ""height"": 5.77, ""depth"": 18.57}",3 year warranty,Ships overnight,In Stock,60 days return policy,43,https://cdn.dummyjson.com/product-images/groceries/beef-steak/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/beef-steak/1.webp""]",5640063409695,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Protein,Natural,Solid,Red
18,Cat Food,Nutritious cat food formulated to meet the dietary needs of your feline friend.,groceries,8.99,9.58,3.13,46,"[""pet supplies"", ""cat food""]","Wallace, Hughes and Lloyd",GRO-BRD-FOO-018,10,"{""width"": 18.08, ""height"": 9.26, ""depth"": 21.86}",1 year warranty,Ships overnight,In Stock,No return policy,18,https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/cat-food/1.webp""]",1483991328610,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Food Grade,Natural,Solid,Natural
19,Chicken Meat,"Fresh and tender chicken meat, suitable for various culinary preparations.",groceries,9.99,13.7,3.19,97,"[""meat""]",Barton LLC,GRO-BRD-CHI-019,1,"{""width"": 11.03, ""height"": 22.11, ""depth"": 16.01}",1 year warranty,Ships in 1 month,In Stock,7 days return policy,22,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/chicken-meat/1.webp"", ""https://cdn.dummyjson.com/product-images/groceries/chicken-meat/2.webp""]",8829514594521,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Protein,Natural,Solid,Red
20,Cooking Oil,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",groceries,4.99,9.33,4.8,10,"[""cooking essentials""]","Hunt, Martinez and Howell",GRO-BRD-COO-020,5,"{""width"": 19.95, ""height"": 27.54, ""depth"": 24.86}",Lifetime warranty,Ships in 1-2 business days,In Stock,30 days return policy,46,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/cooking-oil/1.webp""]",4874727824518,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Food Grade,Natural,Solid,Natural
21,Cucumber,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",groceries,1.49,0.16,4.07,84,"[""vegetables""]","Vasquez, Ingram and Church",GRO-BRD-CUC-021,4,"{""width"": 12.8, ""height"": 28.38, ""depth"": 21.34}",2 year warranty,Ships in 1-2 business days,In Stock,7 days return policy,2,https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/cucumber/1.webp""]",5300066378225,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Fresh Produce,Natural,Solid,Green
22,Dog Food,Specially formulated dog food designed to provide essential nutrients for your canine companion.,groceries,10.99,10.27,4.55,71,"[""pet supplies"", ""dog food""]",Diaz Ltd,GRO-BRD-FOO-022,10,"{""width"": 16.93, ""height"": 27.15, ""depth"": 9.29}",No warranty,Ships in 1-2 business days,In Stock,60 days return policy,43,https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/dog-food/1.webp""]",5906686116469,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Food Grade,Natural,Solid,Natural
23,Eggs,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",groceries,2.99,11.05,2.53,9,"[""dairy""]",Hawkins Inc,GRO-BRD-EGG-023,2,"{""width"": 11.42, ""height"": 7.44, ""depth"": 16.95}",1 week warranty,Ships in 1 week,In Stock,No return policy,32,https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/eggs/1.webp""]",3478638588469,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Dairy,Natural,Solid,Natural
24,Fish Steak,"Quality fish steak, suitable for grilling, baking, or pan-searing.",groceries,14.99,4.23,3.78,74,"[""seafood""]",Stafford LLC,GRO-BRD-FIS-024,6,"{""width"": 14.95, ""height"": 26.31, ""depth"": 11.27}",1 month warranty,Ships in 3-5 business days,In Stock,60 days return policy,50,https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/fish-steak/1.webp""]",9595036192098,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Protein,Natural,Solid,Natural
25,Green Bell Pepper,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",groceries,1.29,0.16,3.25,33,"[""vegetables""]",Martin LLC,GRO-BRD-GRE-025,2,"{""width"": 15.33, ""height"": 26.65, ""depth"": 14.44}",1 month warranty,Ships in 1 week,In Stock,30 days return policy,12,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/1.webp""]",2365227493323,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Fresh Produce,Natural,Solid,Green
26,Green Chili Pepper,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",groceries,0.99,1,3.66,3,"[""vegetables""]","Davis, Dominguez and Thomas",GRO-BRD-GRE-026,7,"{""width"": 15.38, ""height"": 18.12, ""depth"": 19.92}",2 year warranty,Ships in 1 week,Low Stock,30 days return policy,39,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/1.webp""]",9335000538563,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Fresh Produce,Natural,Solid,Green
27,Honey Jar,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",groceries,6.99,14.4,3.97,34,"[""condiments""]",Blackwell-Conley,GRO-BRD-HON-027,2,"{""width"": 9.28, ""height"": 21.72, ""depth"": 17.74}",1 month warranty,Ships in 1-2 business days,In Stock,90 days return policy,47,https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/honey-jar/1.webp""]",6354306346329,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Liquid,Natural,Solid,Natural
28,Ice Cream,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",groceries,5.49,8.69,3.39,27,"[""desserts""]",Baker Group,GRO-BRD-CRE-028,1,"{""width"": 14.83, ""height"": 15.07, ""depth"": 24.2}",1 month warranty,Ships in 2 weeks,In Stock,No return policy,42,https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/ice-cream/1.webp"", ""https://cdn.dummyjson.com/product-images/groceries/ice-cream/2.webp"", ""https://cdn.dummyjson.com/product-images/groceries/ice-cream/3.webp"", ""https://cdn.dummyjson.com/product-images/groceries/ice-cream/4.webp""]",0788954559076,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Food Grade,Natural,Solid,Natural
29,Juice,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",groceries,3.99,12.06,3.94,50,"[""beverages""]",Butler-Sanchez,GRO-BRD-JUI-029,1,"{""width"": 18.56, ""height"": 21.46, ""depth"": 28.02}",6 months warranty,Ships in 1 week,In Stock,No return policy,25,https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/juice/1.webp""]",6936112580956,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Fresh Produce,Natural,Solid,Natural
30,Kiwi,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",groceries,2.49,15.22,4.93,99,"[""fruits""]",Watson and Sons,GRO-BRD-KIW-030,5,"{""width"": 19.4, ""height"": 18.67, ""depth"": 17.13}",6 months warranty,Ships overnight,In Stock,7 days return policy,30,https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/kiwi/1.webp""]",2530169917252,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Fresh Produce,Natural,Solid,Natural
31,Lemon,"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.",groceries,0.79,9.7,3.53,31,"[""fruits""]",Thompson Ltd,GRO-BRD-LEM-031,3,"{""width"": 23.77, ""height"": 9.22, ""depth"": 12.05}",No warranty,Ships in 1 month,In Stock,7 days return policy,29,https://cdn.dummyjson.com/product-images/groceries/lemon/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/lemon/1.webp""]",4871812433378,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Fresh Produce,Natural,Solid,Yellow
32,Milk,"Fresh and nutritious milk, a staple for various recipes and daily consumption.",groceries,3.49,13.74,2.61,27,"[""dairy""]","Barry, Choi and Palmer",GRO-BRD-MIL-032,5,"{""width"": 12.92, ""height"": 15.76, ""depth"": 11.29}",3 year warranty,Ships in 2 weeks,In Stock,7 days return policy,5,https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/milk/1.webp""]",9835034508303,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Dairy,Natural,Solid,Natural
33,Mulberry,"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.",groceries,4.99,12.87,4.95,99,"[""fruits""]",Wilson-Schneider,GRO-BRD-MUL-033,5,"{""width"": 12.8, ""height"": 18.54, ""depth"": 6.31}",2 year warranty,Ships in 1 week,In Stock,No return policy,43,https://cdn.dummyjson.com/product-images/groceries/mulberry/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/mulberry/1.webp""]",2206629068605,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Fresh Produce,Natural,Solid,Purple
34,Nescafe Coffee,"Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.",groceries,7.99,1.59,4.82,57,"[""beverages"", ""coffee""]",Fuller PLC,GRO-BRD-NES-034,6,"{""width"": 20.54, ""height"": 29.49, ""depth"": 29.2}",1 year warranty,Ships in 1-2 business days,In Stock,30 days return policy,8,https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/1.webp""]",8572637994159,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Liquid,Natural,Solid,Natural
35,Potatoes,"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.",groceries,2.29,5.38,4.81,13,"[""vegetables""]","Taylor, Shannon and Rivera",GRO-BRD-POT-035,9,"{""width"": 22.65, ""height"": 9.83, ""depth"": 21.75}",3 year warranty,Ships in 3-5 business days,In Stock,90 days return policy,9,https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/potatoes/1.webp""]",3590399655074,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Fresh Produce,Natural,Solid,Natural
36,Protein Powder,"Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.",groceries,19.99,7.59,4.18,80,"[""health supplements""]",Medina Ltd,GRO-BRD-PRO-036,9,"{""width"": 9.01, ""height"": 12.53, ""depth"": 22.35}",1 week warranty,Ships in 1 month,In Stock,No return policy,6,https://cdn.dummyjson.com/product-images/groceries/protein-powder/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/protein-powder/1.webp""]",0435397154434,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Food Grade,Natural,Solid,Natural
37,Red Onions,"Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.",groceries,1.99,9.9,4.2,82,"[""vegetables""]","Snow, Brown and Waters",GRO-BRD-ONI-037,9,"{""width"": 16.01, ""height"": 24.96, ""depth"": 12.74}",1 month warranty,Ships in 3-5 business days,In Stock,7 days return policy,8,https://cdn.dummyjson.com/product-images/groceries/red-onions/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/red-onions/1.webp""]",4716374115631,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Fresh Produce,Natural,Solid,Red
38,Rice,"High-quality rice, a staple for various cuisines and a versatile base for many dishes.",groceries,5.99,9.29,3.18,59,"[""grains""]",Lloyd-Herrera,GRO-BRD-RIC-038,5,"{""width"": 17.21, ""height"": 9.88, ""depth"": 17.16}",6 months warranty,Ships overnight,In Stock,No return policy,20,https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/rice/1.webp""]",7339757397015,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Food Grade,Natural,Solid,Natural
39,Soft Drinks,"Assorted soft drinks in various flavors, perfect for refreshing beverages.",groceries,1.99,17.48,4.75,53,"[""beverages""]","Blake, Moore and Beard",GRO-BRD-SOF-039,9,"{""width"": 19.75, ""height"": 6.79, ""depth"": 9.33}",6 months warranty,Ships in 2 weeks,In Stock,7 days return policy,10,https://cdn.dummyjson.com/product-images/groceries/soft-drinks/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/soft-drinks/1.webp""]",2991169581178,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Liquid,Natural,Solid,Natural
40,Strawberry,"Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.",groceries,3.99,1.12,3.08,46,"[""fruits""]",Hill Group,GRO-BRD-STR-040,1,"{""width"": 28.18, ""height"": 21.25, ""depth"": 28.54}",1 week warranty,Ships in 1-2 business days,In Stock,No return policy,12,https://cdn.dummyjson.com/product-images/groceries/strawberry/thumbnail.webp,"[""https://cdn.dummyjson.com/product-images/groceries/strawberry/1.webp""]",0792647462295,https://cdn.dummyjson.com/public/qr-code.png,"[""One Size""]",piece,U,Fresh Produce,Natural,Solid,Red
